"target_id","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"PLCH1",4,11.8965789035715,3.83307498276636e-39,3.97831619747479e-37
"ARNTL2",6,24.7914899115681,3.88692642071227e-39,4.01005121571567e-37
"PELI1",1,5.05915444954171,6.93562294188244e-39,7.11272902771979e-37
"FSTL1",7,24.3051042614211,8.73046332674439e-39,8.90042323411119e-37
"NIPAL4",1,5.4842830441352,1.52908453624975e-38,1.54968220441453e-36
"PTPN14",2,10.3271921438594,2.08425237334932e-38,2.09997568072722e-36
"ST6GALNAC1",4,9.93442878361358,2.89160086991291e-38,2.89647624347265e-36
"NFKB2",8,34.0380580935154,4.01619186755619e-38,3.99970923041188e-36
"MGAM",3,7.11388678258262,7.9386310929942e-38,7.86061351156305e-36
"GAS5",26,101.496616808054,9.96900874754653e-38,9.81463152637024e-36
"RGS2",2,7.1383863753479,1.46428722962013e-37,1.43342072040485e-35
"COL7A1",9,42.4402149183474,6.08620944494212e-37,5.92425438005129e-35
"ETS2",3,14.989824294605,9.21157820518315e-37,8.91608319646632e-35
"KIAA1549L",3,12.5431814793669,9.68382586824533e-37,9.32081764715077e-35
"FXYD2",7,22.5950269037071,1.21581819929245e-36,1.16374065308942e-34
"AHNAK",5,18.5288979041185,1.3977363605422e-36,1.33047512462882e-34
"ADAMTS15",1,5.19790572814955,1.68551611009824e-36,1.59559104730124e-34
"ABCC3",18,91.1248786412606,2.16893416528307e-36,2.04199818216732e-34
"CPNE7",6,23.4491601376781,2.63503530993327e-36,2.46733822580654e-34
"METTL7B",2,10.7148121926364,3.50211361824964e-36,3.26150894750395e-34
"FOXF2",1,5.29297518023725,4.02963846077071e-36,3.73261510971067e-34
"HNRNPL",13,74.7184860804779,5.53779525115289e-36,5.10217510064776e-34
"VIL1",4,14.3300485926527,6.9100760564085e-36,6.33264363701393e-34
"HTRA3",2,9.47266302492692,7.67613189832207e-36,6.99746436381963e-34
"RPL31",10,50.2648001528787,8.74592466388569e-36,7.93071242284666e-34
"P4HA3",5,13.6952458561856,1.01227090661428e-35,9.13110756547509e-34
"NPC2",4,16.0405224549865,1.08122191690423e-35,9.70227729497031e-34
"ETS1",4,21.1102464017164,1.08769782533857e-35,9.70981649365714e-34
"ITGB1",12,59.8110197905671,1.13795218920691e-35,1.01060712720855e-33
"POF1B",1,6.6447850458757,1.14390827085514e-35,1.01068695377247e-33
"NUDT4",4,21.7269542437053,1.20657002180353e-35,1.06061198498229e-33
"PLEKHA2",3,10.0665577192017,1.99395931324772e-35,1.74385406131701e-33
"PRODH",7,18.4462872960214,2.25531540693899e-35,1.96246611849251e-33
"ACTR3",6,31.7201617839552,2.74091586467204e-35,2.37302710715752e-33
"RPL22L1",5,26.2162440838,8.75382487447174e-35,7.54098243811368e-33
"SNTB1",3,7.16445314633391,9.64818611974305e-35,8.27007953517676e-33
"MAP3K1",2,9.57132078496923,1.40181905889256e-34,1.19564062206237e-32
"FLNB",11,60.1825631351485,2.47660317868042e-34,2.10194069780714e-32
"PEA15",4,22.5623833628027,3.12464798331176e-34,2.63894902472933e-32
"DSE",6,19.2581041179314,5.47351062447057e-34,4.60015192921968e-32
"HAS3",5,18.2883875312846,5.54513241384679e-34,4.63772263874594e-32
"CXADR",3,13.7179613126052,6.81665703392052e-34,5.67363207910226e-32
"NTRK3",6,16.4340915865092,7.61018737287763e-34,6.303649915736e-32
"JAK1",3,14.9437684841383,7.64875178982062e-34,6.30527964530237e-32
"DNAJB4",4,19.7311943976179,1.0046324890661e-33,8.2422919781523e-32
"SGOL2",2,9.25142544544466,1.03316815701571e-33,8.43623420721504e-32
"RASSF9",1,5.64777684289432,1.52076089570057e-33,1.23590516377477e-31
"PDLIM7",12,45.3648921005391,2.15180767628053e-33,1.74053964575762e-31
"DSP",2,14.8488255778639,2.34994121333425e-33,1.89192229740822e-31
"CACNG7",1,4.29734712021619,2.68707946995433e-33,2.15328800873689e-31
"MLPH",18,73.6935852680049,3.30993576742965e-33,2.64013348782617e-31
"CDCP1",1,5.56553802399763,8.32016369137193e-33,6.60590323680401e-31
"SLC3A2",17,96.0681267522796,8.41227219787561e-33,6.64839622464215e-31
"BMP4",7,22.7826974910015,8.76438939388083e-33,6.89505319028186e-31
"CSRP1",10,44.6685287871452,1.34586347708416e-32,1.05399462939468e-30
"CTSB",14,53.0179757796982,1.59727285829195e-32,1.24522235635801e-30
"CX3CL1",2,6.31516701800142,1.78176909399694e-32,1.382797284706e-30
"SMOC1",2,11.6696177733406,1.84267098404773e-32,1.42364925489499e-30
"HHEX",4,15.3775456011361,2.92665022592593e-32,2.25103824743205e-30
"DFNA5",9,28.5612192048932,2.95651382237432e-32,2.26390118425276e-30
"PCBP2",20,111.04707689595,3.14299132523401e-32,2.39604413904676e-30
"BIRC3",4,19.1357042203561,3.54876614691327e-32,2.69346660551404e-30
"RP11-279F6.1",3,8.18292801130787,3.96896140568304e-32,2.99192618094504e-30
"HNRNPA3",4,29.7687864820659,3.97673164685365e-32,2.99192618094504e-30
"GABARAPL1",6,21.4308997354426,4.28300202236719e-32,3.20834094971149e-30
"NRCAM",10,42.2915605347602,4.38971205709131e-32,3.27404108362018e-30
"SOCS3",1,6.75227226875072,5.27860646605653e-32,3.92004787946931e-30
"S100A3",2,9.90345017579568,5.33641437815472e-32,3.9459692412544e-30
"LACTB",4,19.2975136023701,7.43703969228786e-32,5.47575884010374e-30
"GOLM1",2,14.9695971583931,9.11001153561154e-32,6.67899526583197e-30
"SPDEF",2,10.3168644199322,1.37295969522144e-31,1.00231875376992e-29
"ACTN4",10,60.8479586971376,1.65559355274627e-31,1.2035536422053e-29
"TANC2",5,15.749999038293,1.68455344980114e-31,1.21946098263125e-29
"LBH",5,16.7622284736652,2.04015479446356e-31,1.47070405664488e-29
"DDX10",3,15.3606216779158,2.24890203409427e-31,1.61443054772543e-29
"ARSI",2,6.94207863036198,2.48187198028366e-31,1.7742810103032e-29
"TNFAIP2",10,54.4656664851945,2.53025131765988e-31,1.80139255999843e-29
"ADCY6",7,35.0708434053039,2.87710293429178e-31,2.03990150020218e-29
"TTC9",1,5.51180928529554,3.02809501160175e-31,2.13815774405273e-29
"BOK",1,5.63170096728393,4.7550467195302e-31,3.34386530329738e-29
"STAT3",11,43.240264850176,4.81830127745322e-31,3.37457368736754e-29
"KIAA1644",1,3.57182579031335,5.30079793494235e-31,3.69746751502517e-29
"SLC23A2",3,11.2528908225059,6.79790778984755e-31,4.72262714964852e-29
"SLC9A2",2,7.24174594934955,1.11535769680872e-30,7.71746897924394e-29
"PELI2",1,5.59638570478987,1.54408247594693e-30,1.06411987912359e-28
"RBMS1",10,42.2253526424384,1.95337118180099e-30,1.3408219956673e-28
"RAB8B",3,12.0823547834242,2.02241089162518e-30,1.38270306554802e-28
"EPS8",7,26.4367177164613,2.450226784558e-30,1.66857538621146e-28
"ERRFI1",4,19.2739922425784,3.17297592831306e-30,2.15225205783093e-28
"TUBA4A",8,37.6472609045253,4.77747488856331e-30,3.22788685706107e-28
"RP11-396K3.1",2,15.057595958841,5.02704084896473e-30,3.3832377651099e-28
"MDGA1",5,16.3166660067588,5.38503189997305e-30,3.61006671613369e-28
"DCDC1",4,13.8946787359313,6.48428992443661e-30,4.32003179446212e-28
"FBN2",5,21.5847291542054,6.49421460772935e-30,4.32003179446212e-28
"LGALS8",15,50.7501548020915,8.10923270289124e-30,5.37361423992743e-28
"BCAS1",3,13.7152266036194,8.20818465533212e-30,5.41834534201981e-28
"ANXA4",10,49.2253407616089,9.01447623978252e-30,5.92787828760355e-28
"MUC5B",4,10.0860435009126,1.05605721452216e-29,6.91817861178791e-28
"ZFAND5",7,42.7520285668642,1.18160577443732e-29,7.71132041203809e-28
"ERBB3",5,14.1726235043419,1.28451675656298e-29,8.35129781087685e-28
"LIFR",2,8.9601546680972,1.56199446045653e-29,1.01171438192502e-27
"CCPG1",8,39.8092649989656,1.67474497894691e-29,1.0806809454036e-27
"MARCH4",1,5.38840968814414,1.83352687600584e-29,1.17872516965315e-27
"FOXA3",1,4.73890115530788,2.2226562418119e-29,1.42357414089878e-27
"RASSF7",7,24.6789354977444,2.84721509316837e-29,1.816839586674e-27
"FOSL2",3,18.8578935291294,3.22719631737386e-29,2.05171089859905e-27
"PLS1",8,24.72353781509,3.24210815774432e-29,2.05361328859474e-27
"ATP2B1",8,37.802561903955,4.03901769265056e-29,2.54901962735078e-27
"TP53I11",15,52.7612386816584,4.72189720057546e-29,2.96910827988009e-27
"PDE1C",6,25.9726997657352,4.75968701893436e-29,2.98198718724437e-27
"GABRA5",5,20.574302565324,4.88861978981186e-29,3.05166776661843e-27
"MYOF",7,34.8494388469503,7.40637970065791e-29,4.6066612224778e-27
"ARHGAP18",1,7.22016641402803,8.46505066362071e-29,5.24619992386767e-27
"XPO1",10,44.4897183718016,9.0523144867348e-29,5.59004753734602e-27
"CHD3",12,53.8103187116714,1.05172505722902e-28,6.47148964678528e-27
"KIAA1161",1,6.75259548808608,1.19337111058671e-28,7.31693625063999e-27
"PAPSS2",2,12.6659264220057,1.37475578464619e-28,8.39917284172667e-27
"ADD3",6,21.2030225393839,1.50167503395183e-28,9.1421763816099e-27
"PDLIM5",13,47.7727436676947,1.97110863600137e-28,1.19578277076294e-26
"UBE2L6",2,8.20591348153837,2.00863425741073e-28,1.21427226740103e-26
"DDX5",23,103.284145788482,2.0291158916485e-28,1.22236495444797e-26
"EGFR",4,13.7306173560225,2.04792135298613e-28,1.22939501709401e-26
"RNF144B",2,5.4148487763641,2.72737611272415e-28,1.63159593910154e-26
"EEF1B2",10,47.2720252680639,2.83478226477961e-28,1.68998144082657e-26
"FZD5",1,7.14169190459949,3.08932367686533e-28,1.83537784926596e-26
"SYNGR2",7,40.3796731452634,3.44738951249433e-28,2.04106783198505e-26
"TUBB6",8,37.8651443753434,3.50513951594162e-28,2.06815235343007e-26
"XBP1",5,27.7235529560754,4.83891373901158e-28,2.84538036892254e-26
"LRP4",4,15.8970259129043,4.96657599766044e-28,2.91051489332285e-26
"FLNA",16,88.3279249488327,6.02266218812526e-28,3.51743887590543e-26
"CCNYL1",5,19.5287145128324,8.05330673245012e-28,4.68751424639808e-26
"BAMBI",2,9.63761452150015,8.46487851089308e-28,4.91048457455141e-26
"HIP1R",8,26.9180147266926,8.5776959317776e-28,4.95923232243612e-26
"SOX2",1,6.05410338743433,1.11485528185749e-27,6.40261388370754e-26
"TBX18",6,23.4241360138387,1.11474312287354e-27,6.40261388370754e-26
"DIO2",3,13.6754378924632,1.20301032149577e-27,6.88593515915302e-26
"SQRDL",3,13.9151875469508,1.4133566291724e-27,8.06315276954016e-26
"MYL9",2,6.46981376025146,1.57777428859397e-27,8.97144330633182e-26
"SYNPO",3,19.1843566621207,1.63854753543891e-27,9.28636035792007e-26
"DDR1",30,91.9634543222594,1.74093726180674e-27,9.83429773235027e-26
"XDH",1,4.35567199614838,2.39960486999879e-27,1.35107164396108e-25
"RHOBTB1",5,17.2906952224109,2.54084660364267e-27,1.42593635616155e-25
"ANKRD29",5,12.8372747001046,3.49409396460458e-27,1.954537172603e-25
"TEAD1",5,28.7983271359092,3.79594529958558e-27,2.11651590830291e-25
"RBKS",2,8.53181462162896,4.12613025350365e-27,2.29319671411659e-25
"IFFO2",2,10.375022017002,5.62276821619111e-27,3.11494127320761e-25
"TGFBR2",2,15.9814952356054,5.83141505970363e-27,3.22017468152673e-25
"COL6A1",2,9.36576499934449,5.975094754623e-27,3.28897468138657e-25
"HNRNPA1",13,78.6653233663745,6.48146022075787e-27,3.55634006826234e-25
"SEPT10",4,20.3515850580326,6.57532524435554e-27,3.59638979793656e-25
"ALS2CL",8,25.5690959477025,7.57186666417116e-27,4.12834464420902e-25
"FBLN2",2,4.96007003232221,7.68078824594797e-27,4.16139310344143e-25
"NXPE3",8,37.7232285087385,7.6792424949758e-27,4.16139310344143e-25
"LRRK1",7,30.9907351900311,8.2113467822256e-27,4.43489948937194e-25
"EPAS1",5,20.1465553391594,9.21450244760533e-27,4.96114570843101e-25
"SLC41A2",6,20.2017534074131,1.16881976615719e-26,6.27339431499135e-25
"EPS8L3",9,21.6679909223399,1.27521767326155e-26,6.82320661261591e-25
"USP53",7,26.8397967637401,1.352548569911e-26,7.21456944612899e-25
"SRSF10",13,62.6696545387423,1.69146670002802e-26,8.99453079468602e-25
"ACSL3",7,29.7181055338663,1.94317919301776e-26,1.03012413281548e-24
"CHORDC1",7,36.4375384927095,1.98804646397766e-26,1.05067645791016e-24
"SMAD2",10,45.5808670039605,2.15390023629789e-26,1.13484853734484e-24
"APOC1",7,27.443905446332,2.221027278943e-26,1.16664874966186e-24
"C2orf82",1,4.51713747225504,2.59245443735119e-26,1.35761086629555e-24
"AC013394.2",7,31.3381614180429,2.61770524066764e-26,1.3666801088322e-24
"HSP90AA1",8,39.8762952242856,2.73326004753823e-26,1.42269901386816e-24
"SERPINB1",4,20.7713505355766,3.2812837189513e-26,1.7028083492112e-24
"C12orf75",6,27.5137827458922,3.84102286558875e-26,1.98729678532218e-24
"PSMB9",8,23.3206125109782,4.54285780951639e-26,2.34338015569335e-24
"AKR1B10",4,31.8886662754613,4.9331555389242e-26,2.53711453075e-24
"LAMA4",5,11.8474723445564,5.44701097911262e-26,2.7930521475932e-24
"TRAF4",10,38.2854052309216,7.80219075782001e-26,3.98884108505878e-24
"CORO2A",1,5.06671742837985,9.32075488643437e-26,4.75110313427153e-24
"DRAP1",6,22.0260195232453,1.16069605767043e-25,5.89900660106309e-24
"PDZD8",3,17.4021466845195,1.18685523883653e-25,5.99799792470278e-24
"PALLD",9,35.5954527880101,1.18713639347823e-25,5.99799792470278e-24
"EPHX1",5,26.5448665512041,1.78335914129996e-25,8.98406276182955e-24
"AREG",2,11.8428100498098,1.88365614653468e-25,9.46166523284139e-24
"HNRNPH3",11,56.3354465596566,2.51410691315047e-25,1.25917290717062e-23
"C2orf72",3,13.690579877551,2.6456755499288e-25,1.3212273637601e-23
"SERINC5",1,6.8018763852014,2.87328627976504e-25,1.43074709000208e-23
"ACTG1",15,85.6256589706952,3.5045325550226e-25,1.74004586139725e-23
"C6orf141",7,20.8805202935632,3.59535925841847e-25,1.7800127776808e-23
"CDA",2,7.54771639634845,3.92598914058035e-25,1.93813372215068e-23
"BLOC1S1",8,30.5570704116605,4.36741367845676e-25,2.14989057903233e-23
"VLDLR",2,11.6068483048476,4.45910151959139e-25,2.18877094247977e-23
"BZW1",10,39.0375545279801,1.06911138724783e-24,5.23287502582182e-23
"SVEP1",2,3.53662541969989,1.39297620081022e-24,6.79874984809046e-23
"ADD2",8,31.8380435636977,1.43990646833421e-24,7.00795156579945e-23
"MCF2L",7,13.6981877175624,1.53820483983532e-24,7.4652763902881e-23
"ANKRD28",12,47.0670178441092,1.63958329167795e-24,7.93493835177509e-23
